name,population
California,"39,356,104"
95821,"37,436"
95822,"46,413"
95823,"82,983"
95824,"30,556"
95825,"37,310"
95826,"40,205"
95827,"21,084"
95828,"60,850"
95829,"31,297"
95830,746
95831,"44,450"
95832,"13,116"
95833,"40,908"
95834,"34,892"
95835,"40,957"
95837,306
95838,"41,311"
95841,"21,542"
95842,"34,775"
95843,"47,195"
95864,"25,728"
95901,"36,119"
95903,"1,868"
95910,148
95912,"4,908"
95913,313
95914,450
95915,0
95916,965
95917,"4,091"
95918,"1,807"
95919,"1,183"
95920,164
95922,593
95923,43
95925,188
95926,"42,362"
95928,"38,412"
95929,0
95930,417
95932,"7,789"
95934,33
95935,465
95936,121
95937,"1,145"
95938,"4,451"
95939,376
95941,396
95942,"1,786"
95943,670
95944,65
95945,"27,388"
95946,"9,049"
95947,"1,407"
95948,"11,456"
95949,"21,232"
95950,442
95951,"2,522"
95953,"11,201"
95954,"10,163"
95955,"1,413"
95956,458
95957,752
95958,0
95959,"18,244"
95960,594
95961,"32,663"
95962,"1,136"
95963,"16,485"
95965,"20,835"
95966,"30,108"
95968,"1,366"
95969,"7,564"
95970,466
95971,"5,931"
95972,142
95973,"38,323"
95974,65
95975,"1,628"
95977,"1,822"
95978,98
95979,374
95981,52
95982,"3,084"
95983,395
95984,177
95986,104
95987,"6,504"
95988,"8,748"
